epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,979.762,1.61935,2.46098,1.7909,0.46712,0.43654,0.40924,0.15522,1.92626,2.96276,2.29508,0.000552417,0.000552417,0.000552417
2,1926.75,1.69661,2.26702,1.90979,0.42148,0.36429,0.34234,0.15273,1.97717,2.58552,2.24732,0.00108614,0.00108614,0.00108614
